Paraeuchaeta elongata,16
Neocalanus plumchrus,0
Eucalanus bungii,80
Metridia pacifica,2672
Othiona similis,192
Acartia sp.,624
Calanus pacificus,496
Calanus marshallae,848
Ctenocalanus vanus,480
Pseudocalanus cf. minutus ,592
Paracalanus parvus,304
Microcalanus,992
Copepod nauplius,1104
Parasagitta elegans,112
Ostracoda,96
Oikopleuria,1
Euphausia pacifica,96
Primno abyssalis,3
Themisto pacifica,4
Cyphocaris challengeri,144
Eggs,160
Cirripedia larvae,288
Decapod larva,64
Unknown,160
Gastropoda,304
